Date,Station,pH,Temperature,Dissolved_Oxygen,Turbidity,BOD,River_Health
2025-03-11,Patna,6.8,29,6.1,3,2.2,Healthy
2025-03-12,Bhagalpur,8.3,27,9.3,4,1.9,Healthy
2025-03-13,Kolkata,6.5,25,4.4,5,10.0,Critical
2025-03-14,Haridwar,8.1,28,5.3,18,11.1,Critical
2025-03-15,Rishikesh,7.3,30,3.1,2,9.8,Warning
2025-03-16,Kanpur,6.3,22,4.4,1,8.0,Critical
2025-03-17,Prayagraj,8.0,22,6.8,8,1.7,Warning
2025-03-18,Varanasi,8.1,34,2.6,18,5.6,Critical
2025-03-19,Patna,8.3,24,2.8,8,11.3,Critical
2025-03-20,Bhagalpur,8.4,28,2.9,7,11.3,Critical
2025-03-21,Kolkata,7.5,26,4.5,17,8.4,Critical
2025-03-22,Haridwar,6.5,20,9.5,2,1.2,Healthy
2025-03-23,Rishikesh,7.8,26,6.1,8,11.3,Critical
2025-03-24,Kanpur,6.1,33,7.1,18,10.2,Critical
2025-03-25,Prayagraj,6.9,29,7.3,8,4.8,Warning
2025-03-26,Varanasi,8.0,24,5.3,12,11.8,Critical
2025-03-27,Patna,8.1,20,3.0,9,5.7,Critical
2025-03-28,Bhagalpur,5.9,32,8.6,10,7.6,Critical
2025-03-29,Kolkata,7.7,21,5.7,6,4.0,Critical
2025-03-30,Haridwar,5.8,31,9.2,18,4.6,Critical
2025-03-31,Rishikesh,5.9,29,4.0,6,1.0,Critical
2025-04-01,Kanpur,6.8,35,4.5,7,3.7,Critical
2025-04-02,Prayagraj,7.9,22,4.3,3,2.6,Healthy
2025-04-03,Varanasi,7.4,32,2.7,10,7.9,Critical
2025-04-04,Patna,6.0,24,7.1,20,5.3,Critical
2025-04-05,Bhagalpur,6.7,35,3.5,20,8.1,Critical
2025-04-06,Kolkata,5.9,33,7.6,17,2.5,Warning
2025-04-07,Haridwar,7.2,20,8.3,19,9.8,Warning
2025-04-08,Rishikesh,7.7,27,3.1,2,2.5,Healthy
2025-04-09,Kanpur,6.8,23,5.1,15,7.1,Critical
2025-04-10,Prayagraj,7.5,27,5.9,1,6.0,Warning
2025-04-11,Varanasi,6.0,22,7.1,3,9.2,Warning
2025-04-12,Patna,7.1,22,8.4,8,9.0,Warning
2025-04-13,Bhagalpur,6.4,34,6.0,13,1.8,Critical
2025-04-14,Kolkata,8.3,29,7.9,20,8.0,Critical
2025-04-15,Haridwar,6.3,24,4.8,10,7.8,Critical
2025-04-16,Rishikesh,6.2,35,2.9,9,11.7,Critical
2025-04-17,Kanpur,6.1,26,7.2,10,8.8,Critical
2025-04-18,Prayagraj,6.6,34,5.8,4,11.9,Critical
2025-04-19,Varanasi,7.3,29,9.3,16,1.2,Healthy
2025-04-20,Patna,7.0,34,9.5,13,3.3,Warning
2025-04-21,Bhagalpur,8.4,26,3.0,3,2.6,Warning
2025-04-22,Kolkata,7.2,31,3.4,17,4.1,Critical
2025-04-23,Haridwar,6.1,31,4.1,16,5.3,Critical
2025-04-24,Rishikesh,6.2,35,7.3,13,4.3,Critical
2025-04-25,Kanpur,6.2,31,5.1,4,10.2,Critical
2025-04-26,Prayagraj,5.8,30,8.4,4,11.3,Warning
2025-04-27,Varanasi,6.3,20,8.8,10,3.8,Critical
2025-04-28,Patna,6.0,32,9.5,19,1.8,Warning
2025-04-29,Bhagalpur,8.3,28,8.5,9,2.1,Warning
2025-04-30,Kolkata,8.1,29,6.9,5,3.7,Warning
2025-05-01,Haridwar,6.5,30,3.8,12,9.6,Critical
2025-05-02,Rishikesh,7.0,20,8.2,13,11.0,Warning
2025-05-03,Kanpur,8.3,26,7.5,2,11.3,Warning
2025-05-04,Prayagraj,6.9,24,7.0,10,6.3,Warning
2025-05-05,Varanasi,8.3,24,3.7,14,4.8,Critical
2025-05-06,Patna,6.6,28,5.3,8,4.3,Critical
2025-05-07,Bhagalpur,7.3,32,3.3,6,1.8,Warning
2025-05-08,Kolkata,7.2,35,6.4,15,11.0,Critical
2025-05-09,Haridwar,8.5,34,5.5,18,3.1,Critical
2025-05-10,Rishikesh,6.0,30,6.4,11,3.6,Critical
2025-05-11,Kanpur,6.5,26,8.7,14,5.2,Critical
2025-05-12,Prayagraj,7.8,26,5.1,11,9.3,Critical
2025-05-13,Varanasi,7.1,31,3.4,17,6.8,Critical
2025-05-14,Patna,7.9,26,3.1,8,5.2,Critical
2025-05-15,Bhagalpur,7.5,33,9.2,1,2.4,Excellent
2025-05-16,Kolkata,6.9,35,9.3,16,1.0,Healthy
2025-05-17,Haridwar,6.9,34,9.3,8,9.6,Warning
2025-05-18,Rishikesh,6.4,24,6.2,4,11.4,Critical
2025-05-19,Kanpur,7.7,34,3.1,2,1.0,Healthy
2025-05-20,Prayagraj,6.1,21,7.0,10,11.6,Critical
2025-05-21,Varanasi,7.5,33,7.4,4,2.1,Excellent
2025-05-22,Patna,6.6,26,5.2,8,9.7,Critical
2025-05-23,Bhagalpur,5.8,29,9.5,9,11.5,Critical
2025-05-24,Kolkata,7.5,27,5.8,8,7.0,Critical
2025-05-25,Haridwar,5.9,33,7.4,10,1.6,Warning
2025-05-26,Rishikesh,6.3,33,3.1,8,8.3,Critical
2025-05-27,Kanpur,8.3,27,6.0,11,8.9,Critical
2025-05-28,Prayagraj,6.8,32,3.9,10,9.1,Critical
2025-05-29,Varanasi,7.2,26,6.0,7,4.4,Critical
2025-05-30,Patna,8.0,27,5.8,9,9.4,Critical
2025-05-31,Bhagalpur,6.6,35,6.8,8,6.3,Critical
2025-06-01,Kolkata,8.3,21,9.1,5,11.1,Warning
2025-06-02,Haridwar,5.9,20,9.3,5,5.6,Warning
2025-06-03,Rishikesh,7.7,25,5.3,11,9.1,Critical
2025-06-04,Kanpur,8.5,25,4.8,6,8.2,Critical
2025-06-05,Prayagraj,7.2,34,2.7,13,10.2,Critical
2025-06-06,Varanasi,8.5,34,3.7,1,1.9,Warning
2025-06-07,Patna,6.0,33,9.2,4,7.2,Warning
2025-06-08,Bhagalpur,7.8,32,5.0,10,10.0,Critical
2025-06-09,Kolkata,7.0,21,7.4,7,5.1,Warning
2025-06-10,Haridwar,8.3,26,4.8,16,1.3,Critical
2025-06-11,Rishikesh,6.9,32,2.8,2,6.1,Warning
2025-06-12,Kanpur,8.0,21,4.3,3,10.9,Warning
2025-06-13,Prayagraj,6.7,28,4.8,20,1.5,Critical
2025-06-14,Varanasi,7.8,30,9.0,10,1.0,Healthy
2025-06-15,Patna,7.8,22,2.7,8,2.2,Warning
2025-06-16,Bhagalpur,7.7,34,9.2,13,9.7,Warning
2025-06-17,Kolkata,8.3,35,3.4,16,3.0,Critical
2025-06-18,Haridwar,8.0,29,8.3,5,7.7,Healthy
2025-06-19,Rishikesh,6.7,30,5.7,20,1.9,Critical
2025-06-20,Kanpur,6.3,25,4.2,3,8.1,Critical
2025-06-21,Prayagraj,7.1,30,3.6,14,10.7,Critical
2025-06-22,Varanasi,8.5,28,6.9,7,2.1,Critical
2025-06-23,Patna,7.1,34,3.7,5,5.6,Warning
2025-06-24,Bhagalpur,7.5,27,7.7,4,9.6,Healthy
2025-06-25,Kolkata,6.6,28,6.5,12,3.8,Critical
2025-06-26,Haridwar,6.5,34,4.2,8,3.6,Critical
2025-06-27,Rishikesh,6.6,26,4.8,13,3.8,Critical
2025-06-28,Kanpur,6.5,27,7.0,4,8.2,Warning
2025-06-29,Prayagraj,8.5,23,2.5,8,10.2,Critical
2025-06-30,Varanasi,8.3,21,8.6,8,2.3,Warning
2025-07-01,Patna,6.3,26,9.0,12,6.6,Critical
2025-07-02,Bhagalpur,6.3,28,7.9,1,2.2,Healthy
2025-07-03,Kolkata,7.4,31,4.0,12,4.7,Critical
2025-07-04,Haridwar,5.9,28,2.8,7,10.0,Critical
2025-07-05,Rishikesh,8.0,33,7.2,6,7.8,Warning
2025-07-06,Kanpur,6.0,21,8.1,18,6.3,Critical
2025-07-07,Prayagraj,6.9,32,7.1,5,8.0,Healthy
2025-07-08,Varanasi,6.0,25,5.3,9,5.5,Critical
2025-07-09,Patna,6.6,29,5.4,2,4.4,Critical
2025-07-10,Bhagalpur,7.3,31,5.4,1,10.5,Warning
2025-07-11,Kolkata,8.5,31,7.0,13,9.0,Critical
2025-07-12,Haridwar,6.3,20,5.5,6,5.7,Critical
2025-07-13,Rishikesh,8.0,32,6.5,12,6.1,Critical
2025-07-14,Kanpur,6.2,20,2.9,5,8.0,Critical
2025-07-15,Prayagraj,8.3,22,6.5,12,9.1,Critical
2025-07-16,Varanasi,6.3,31,4.5,17,2.9,Critical
2025-07-17,Patna,6.0,32,5.9,7,4.3,Critical
2025-07-18,Bhagalpur,8.1,21,9.3,16,4.5,Warning
2025-07-19,Kolkata,7.4,32,3.1,20,8.6,Critical
2025-07-20,Haridwar,8.2,27,6.8,20,10.3,Critical
2025-07-21,Rishikesh,8.0,25,6.5,2,5.4,Warning
2025-07-22,Kanpur,7.2,32,5.0,5,3.7,Warning
2025-07-23,Prayagraj,7.8,26,2.8,18,10.3,Critical
2025-07-24,Varanasi,7.6,30,3.3,20,6.0,Critical
2025-07-25,Patna,8.1,29,7.0,10,7.4,Warning
2025-07-26,Bhagalpur,6.9,31,5.6,15,3.0,Warning
2025-07-27,Kolkata,5.8,35,5.8,15,9.4,Critical
2025-07-28,Haridwar,7.9,34,8.4,16,5.4,Warning
2025-07-29,Rishikesh,6.0,31,5.5,3,9.8,Critical
2025-07-30,Kanpur,7.2,21,2.8,5,1.9,Healthy
2025-07-31,Prayagraj,7.8,22,2.9,17,10.8,Critical
2025-08-01,Varanasi,7.6,24,2.7,3,12.0,Warning
2025-08-02,Patna,7.8,23,3.9,16,4.2,Critical
2025-08-03,Bhagalpur,8.0,25,7.3,8,1.7,Healthy
2025-08-04,Kolkata,6.7,28,3.6,20,4.0,Critical
2025-08-05,Haridwar,8.0,24,4.3,16,3.3,Critical
2025-08-06,Rishikesh,6.5,27,4.7,2,3.2,Critical
2025-08-07,Kanpur,6.9,28,7.3,13,2.9,Healthy
2025-08-08,Prayagraj,7.9,23,7.9,2,8.0,Healthy
2025-08-09,Varanasi,6.8,34,6.4,19,8.6,Critical
2025-08-10,Patna,8.2,28,9.5,13,9.1,Warning
2025-08-11,Bhagalpur,6.8,32,9.4,19,2.6,Healthy
2025-08-12,Kolkata,6.7,22,5.6,6,7.8,Critical
2025-08-13,Haridwar,8.4,29,8.2,9,4.4,Critical
2025-08-14,Rishikesh,8.4,30,7.6,2,3.4,Warning
2025-08-15,Kanpur,6.6,33,5.4,12,10.9,Critical
2025-08-16,Prayagraj,6.2,27,6.8,2,1.2,Warning
2025-08-17,Varanasi,5.8,31,4.6,17,4.9,Critical
2025-08-18,Patna,6.4,29,6.6,7,5.0,Critical
2025-08-19,Bhagalpur,8.0,25,3.4,8,8.8,Critical
2025-08-20,Kolkata,7.0,22,7.0,9,5.4,Warning
2025-08-21,Haridwar,6.5,20,2.9,18,10.8,Critical
2025-08-22,Rishikesh,7.4,34,6.7,17,9.1,Critical
2025-08-23,Kanpur,6.5,20,2.8,18,1.3,Critical
2025-08-24,Prayagraj,6.3,25,2.9,4,1.1,Warning
2025-08-25,Varanasi,7.3,26,3.5,7,6.7,Critical
2025-08-26,Patna,7.5,33,8.2,6,6.6,Warning
2025-08-27,Bhagalpur,6.0,21,9.5,16,8.9,Critical
2025-08-28,Kolkata,5.8,33,7.7,15,1.9,Warning
2025-08-29,Haridwar,7.6,25,4.1,4,3.9,Warning
2025-08-30,Rishikesh,7.5,23,4.8,9,8.8,Critical
2025-08-31,Kanpur,6.5,33,7.3,17,11.7,Critical
2025-09-01,Prayagraj,6.6,26,3.1,17,1.2,Critical
2025-09-02,Varanasi,6.5,27,8.4,7,11.4,Critical
2025-09-03,Patna,7.8,30,3.8,13,4.6,Critical
2025-09-04,Bhagalpur,6.4,35,5.8,17,8.7,Critical
2025-09-05,Kolkata,8.1,33,9.2,8,7.3,Warning
2025-09-06,Haridwar,6.6,26,5.2,19,1.9,Critical
2025-09-07,Rishikesh,8.3,24,2.7,4,2.2,Warning
2025-09-08,Kanpur,8.3,31,9.3,1,1.3,Healthy
2025-09-09,Prayagraj,6.2,21,7.4,2,1.7,Healthy
2025-09-10,Varanasi,7.4,31,3.9,18,10.8,Critical
2025-09-11,Patna,6.0,32,3.2,7,3.2,Critical
2025-09-12,Bhagalpur,5.9,22,8.3,10,6.2,Critical
2025-09-13,Kolkata,6.2,26,4.6,11,5.7,Critical
2025-09-14,Haridwar,5.9,28,9.0,2,8.9,Warning
2025-09-15,Rishikesh,6.8,30,7.9,20,6.5,Warning
2025-09-16,Kanpur,8.1,20,8.0,1,5.8,Healthy
2025-09-17,Prayagraj,7.9,31,5.8,2,6.9,Warning
2025-09-18,Varanasi,6.4,22,6.5,10,2.9,Critical
2025-09-19,Patna,5.8,26,4.5,2,1.0,Warning
2025-09-20,Bhagalpur,7.1,35,7.4,6,11.6,Warning
2025-09-21,Kolkata,7.4,28,6.5,6,4.1,Critical
2025-09-22,Haridwar,6.4,27,6.0,4,11.3,Critical
2025-09-23,Rishikesh,7.9,35,8.0,18,9.7,Warning
2025-09-24,Kanpur,7.5,31,3.2,13,10.8,Critical
2025-09-25,Prayagraj,7.8,33,8.7,1,5.1,Healthy
2025-09-26,Varanasi,6.6,33,8.8,17,2.9,Warning
2025-09-27,Patna,8.5,27,9.1,5,6.8,Warning
2025-09-28,Bhagalpur,7.8,21,4.9,11,6.7,Critical
2025-09-29,Kolkata,8.1,34,7.1,11,2.9,Healthy
2025-09-30,Haridwar,7.0,28,6.6,5,4.7,Warning
2025-10-01,Rishikesh,7.5,27,6.1,9,4.3,Critical
2025-10-02,Kanpur,7.7,24,7.6,8,9.0,Warning
2025-10-03,Prayagraj,7.4,31,3.6,11,11.5,Critical
2025-10-04,Varanasi,6.5,23,3.7,4,3.1,Critical
2025-10-05,Patna,6.2,24,8.1,10,5.8,Critical
2025-10-06,Bhagalpur,6.3,23,4.5,13,6.1,Critical
2025-10-07,Kolkata,5.8,33,7.4,17,11.8,Critical
2025-10-08,Haridwar,6.6,20,3.5,20,9.1,Critical
2025-10-09,Rishikesh,5.8,27,8.9,14,8.7,Critical
2025-10-10,Kanpur,7.4,33,8.4,19,10.4,Warning
2025-10-11,Prayagraj,7.6,23,5.7,11,3.9,Critical
2025-10-12,Varanasi,7.7,33,4.2,13,8.8,Critical
2025-10-13,Patna,7.5,28,8.4,16,6.0,Warning
2025-10-14,Bhagalpur,7.5,33,6.1,6,10.8,Critical
2025-10-15,Kolkata,6.7,20,5.2,16,11.0,Critical
2025-10-16,Haridwar,6.1,28,6.3,6,8.9,Critical
2025-10-17,Rishikesh,8.4,26,6.1,4,10.3,Critical
2025-10-18,Kanpur,7.0,26,7.5,17,1.2,Healthy
2025-10-19,Prayagraj,7.9,31,6.2,14,9.2,Critical
2025-10-20,Varanasi,7.0,25,5.2,4,9.0,Warning
2025-10-21,Patna,7.5,21,4.3,13,5.4,Critical
2025-10-22,Bhagalpur,5.8,33,8.9,12,7.4,Critical
2025-10-23,Kolkata,6.1,29,7.7,17,11.7,Critical
2025-10-24,Haridwar,8.5,32,5.7,6,2.4,Critical
2025-10-25,Rishikesh,7.9,26,5.8,18,8.9,Critical
2025-10-26,Kanpur,8.0,24,5.0,14,6.1,Critical
2025-10-27,Prayagraj,6.6,24,8.0,16,4.9,Critical
2025-10-28,Varanasi,8.1,28,7.4,9,11.8,Warning
2025-10-29,Patna,7.6,35,2.5,9,4.9,Critical
2025-10-30,Bhagalpur,7.6,30,5.9,14,7.9,Critical
2025-10-31,Kolkata,6.0,31,3.6,10,10.4,Critical
2025-11-01,Haridwar,6.0,30,8.0,5,6.8,Warning
2025-11-02,Rishikesh,6.7,20,7.1,7,11.5,Critical
2025-11-03,Kanpur,7.6,28,6.8,19,2.6,Warning
2025-11-04,Prayagraj,6.4,34,4.9,5,3.3,Critical
2025-11-05,Varanasi,6.9,25,6.8,20,11.7,Critical
2025-11-06,Patna,6.0,29,3.9,7,6.8,Critical
2025-11-07,Bhagalpur,7.8,34,7.2,4,7.1,Healthy
2025-11-08,Kolkata,6.5,27,8.3,16,6.4,Critical
2025-11-09,Haridwar,6.0,34,8.8,16,3.7,Critical
2025-11-10,Rishikesh,6.2,20,3.6,11,6.1,Critical
2025-11-11,Kanpur,7.3,29,8.4,12,5.7,Warning
2025-11-12,Prayagraj,8.5,22,3.8,12,8.0,Critical
2025-11-13,Varanasi,5.9,21,7.3,11,9.9,Critical
2025-11-14,Patna,6.1,35,5.9,5,1.4,Warning
2025-11-15,Bhagalpur,7.7,24,4.9,12,4.8,Critical
2025-11-16,Kolkata,7.9,26,4.5,11,5.6,Critical
2025-11-17,Haridwar,7.3,29,4.6,16,5.4,Critical
2025-11-18,Rishikesh,7.2,28,8.6,12,11.7,Warning
2025-11-19,Kanpur,7.6,23,4.8,11,8.8,Critical
2025-11-20,Prayagraj,6.1,22,8.0,2,5.4,Warning
2025-11-21,Varanasi,7.3,32,6.3,2,5.4,Warning
2025-11-22,Patna,6.1,21,3.8,16,7.7,Critical
2025-11-23,Bhagalpur,7.6,32,6.8,20,10.6,Critical
2025-11-24,Kolkata,6.0,21,7.2,15,7.9,Critical
2025-11-25,Haridwar,6.3,25,8.6,14,9.5,Critical
2025-11-26,Rishikesh,8.3,20,5.1,5,9.7,Critical
2025-11-27,Kanpur,7.3,28,8.5,6,5.6,Warning
2025-11-28,Prayagraj,6.7,33,6.5,19,11.3,Critical
2025-11-29,Varanasi,5.9,21,8.3,14,7.3,Critical
2025-11-30,Patna,8.3,34,3.0,13,7.5,Critical
2025-12-01,Bhagalpur,8.5,24,5.8,14,7.0,Critical
2025-12-02,Kolkata,6.0,35,4.0,5,7.9,Critical
2025-12-03,Haridwar,7.0,20,7.3,4,11.9,Healthy
2025-12-04,Rishikesh,8.1,26,8.6,5,6.2,Healthy
2025-12-05,Kanpur,6.5,27,5.7,6,11.2,Critical
2025-12-06,Prayagraj,6.8,24,7.6,3,4.2,Healthy
2025-12-07,Varanasi,7.3,35,5.7,9,11.0,Critical
2025-12-08,Patna,5.9,21,2.6,1,10.7,Critical
2025-12-09,Bhagalpur,7.7,22,5.2,10,9.0,Critical
2025-12-10,Kolkata,6.2,35,6.8,11,5.0,Critical
2025-12-11,Haridwar,7.4,34,5.8,6,2.6,Warning
2025-12-12,Rishikesh,8.0,31,9.2,6,7.9,Warning
2025-12-13,Kanpur,6.9,32,7.9,15,11.4,Warning
2025-12-14,Prayagraj,7.9,30,4.5,2,7.8,Warning
2025-12-15,Varanasi,7.6,30,8.6,1,10.1,Healthy
2025-12-16,Patna,7.4,29,6.6,8,5.1,Critical
2025-12-17,Bhagalpur,7.6,27,8.2,10,8.6,Warning
2025-12-18,Kolkata,6.7,28,5.5,19,11.1,Critical
2025-12-19,Haridwar,7.9,21,4.5,5,9.9,Warning
2025-12-20,Rishikesh,8.1,24,4.4,18,8.5,Critical
2025-12-21,Kanpur,8.3,31,6.2,18,7.1,Critical
2025-12-22,Prayagraj,8.0,26,8.0,8,4.4,Warning
2025-12-23,Varanasi,6.0,32,5.8,7,11.2,Critical
2025-12-24,Patna,7.4,20,8.0,15,6.9,Warning
2025-12-25,Bhagalpur,7.2,31,7.9,8,5.4,Warning
2025-12-26,Kolkata,7.2,28,8.7,17,4.5,Warning
2025-12-27,Haridwar,7.2,26,3.8,7,2.0,Warning
2025-12-28,Rishikesh,8.0,29,5.0,19,4.9,Critical
2025-12-29,Kanpur,7.9,24,4.2,16,5.1,Critical
2025-12-30,Prayagraj,6.1,34,8.0,5,4.5,Warning
2025-12-31,Varanasi,5.9,28,6.1,1,2.0,Warning
2025-01-01,Patna,6.4,35,6.6,7,3.9,Critical
2025-01-02,Bhagalpur,7.9,33,3.2,15,9.4,Critical
2025-01-03,Kolkata,8.0,24,4.3,2,4.7,Warning
2025-01-04,Haridwar,8.5,32,3.1,2,1.4,Warning
2025-01-05,Rishikesh,6.8,34,5.9,3,10.5,Warning
2025-01-06,Kanpur,7.5,23,7.4,3,3.8,Healthy
2025-01-07,Prayagraj,7.3,22,9.2,17,5.3,Warning
2025-01-08,Varanasi,7.0,25,5.1,8,11.9,Critical
2025-01-09,Patna,6.4,21,9.1,12,1.7,Warning
2025-01-10,Bhagalpur,7.3,20,8.4,2,3.8,Healthy
2025-01-11,Kolkata,7.2,35,2.9,5,4.5,Warning
2025-01-12,Haridwar,5.8,26,7.2,10,7.5,Critical
2025-01-13,Rishikesh,7.0,23,5.8,12,3.8,Critical
2025-01-14,Kanpur,6.1,35,5.2,15,3.6,Critical
2025-01-15,Prayagraj,6.2,20,5.8,7,9.8,Critical
2025-01-16,Varanasi,6.2,27,3.0,20,10.5,Critical
2025-01-17,Patna,8.2,24,7.9,4,11.2,Healthy
2025-01-18,Bhagalpur,6.8,20,6.9,15,11.7,Critical
2025-01-19,Kolkata,6.7,27,5.8,12,2.6,Critical
2025-01-20,Haridwar,6.4,21,3.8,15,7.1,Critical
2025-01-21,Rishikesh,6.2,24,4.4,14,3.7,Critical
2025-01-22,Kanpur,5.9,29,4.8,6,3.9,Critical
2025-01-23,Prayagraj,6.1,34,8.8,4,2.7,Healthy
2025-01-24,Varanasi,7.2,26,6.4,10,2.3,Warning
2025-01-25,Patna,7.8,31,5.5,9,12.0,Critical
2025-01-26,Bhagalpur,8.3,23,5.2,14,10.9,Critical
2025-01-27,Kolkata,6.0,29,3.5,1,5.9,Critical
2025-01-28,Haridwar,7.2,24,5.6,17,4.2,Critical
2025-01-29,Rishikesh,6.8,21,8.9,7,4.0,Warning
2025-01-30,Kanpur,6.3,25,6.2,8,8.8,Critical
2025-01-31,Prayagraj,6.3,22,8.3,20,9.0,Critical
2025-02-01,Varanasi,7.9,25,3.9,20,8.4,Critical
2025-02-02,Patna,7.5,26,6.6,7,1.1,Warning
2025-02-03,Bhagalpur,7.7,33,8.4,2,6.7,Healthy
2025-02-04,Kolkata,6.7,29,8.4,16,2.0,Warning
2025-02-05,Haridwar,6.9,35,3.4,9,3.7,Critical
2025-02-06,Rishikesh,7.3,31,2.8,12,7.3,Critical
2025-02-07,Kanpur,8.1,31,6.1,15,11.7,Critical
2025-02-08,Prayagraj,6.0,31,7.5,11,9.6,Critical
2025-02-09,Varanasi,8.1,21,4.5,4,11.5,Warning
2025-02-10,Patna,7.1,20,6.2,18,2.5,Warning
2025-02-11,Bhagalpur,6.5,22,4.1,6,2.8,Critical
2025-02-12,Kolkata,6.6,20,2.6,7,3.9,Critical
2025-02-13,Haridwar,8.1,34,6.2,15,2.1,Warning
2025-02-14,Rishikesh,8.1,25,2.8,4,6.1,Warning
2025-02-15,Kanpur,7.4,28,3.3,4,5.5,Warning
2025-02-16,Prayagraj,6.2,27,8.5,5,8.4,Warning
2025-02-17,Varanasi,7.0,32,3.7,1,11.3,Warning
2025-02-18,Patna,6.8,33,6.7,20,6.8,Critical
2025-02-19,Bhagalpur,6.9,21,7.9,11,5.4,Warning
2025-02-20,Kolkata,8.1,33,8.4,19,9.8,Warning
2025-02-21,Haridwar,8.3,32,8.4,2,4.6,Warning
